OBJECTID,feature_id,site_no,site_name,da_sqkm,lat_reachCent,lon_reachCent
52,16896704,02301150,SOUTH PRONG ALAFIA RIVER NEAR FT LONESOME FL,72.5999985,27.7293053,-82.0742798
53,16896626,02301000,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,135.0000000,27.8839149,-82.1000900
54,16896600,02300882,NORTH PRONG ALAFIA RIVER NEAR NICHOLS FL,39.0000000,27.8903046,-82.0117493
55,16906265,02301900,"FOX BRANCH NEAR SOCRUM, FL",9.5000000,28.1819439,-82.0124969
56,16837536,02299410,BIG SLOUGH CANAL NEAR MYAKKA CITY FL,36.5000000,27.1933842,-82.1442566
57,16838908,02298830,MYAKKA RIVER NEAR SARASOTA FL,229.0000000,27.2406044,-82.3137054
58,16838830,02298554,MYAKKA RIVER NEAR MYAKKA CITY FL,0.0000000,27.3661556,-82.1492538
59,16838806,02298527,OGLEBY CK DNSTR FROM BOGGY CK NEAR MYAKKA CITY FL,8.7100000,27.4036541,-82.1817551
60,16838820,02298495,MAPLE CREEK NEAR MYAKKA CITY FL,3.9300001,27.3844872,-82.1298141
61,16837004,02298488,MYAKKA RIVER UPST FROM YOUNGS CK NR MYAKKA CITY FL,29.2000008,27.4292088,-82.1387024
62,16838802,02298530,COKER CREEK NEAR MYAKKA CITY FL,6.5900002,27.4097652,-82.1750870
63,16837084,02298608,MYAKKA RIVER AT MYAKKA CITY FL,125.0000000,27.3436565,-82.1567535
64,16837572,02298880,MYAKKA RIVER AT CONTROL NEAR LAUREL FL,253.0000000,27.1856079,-82.3556519
65,16838808,02298492,LONG CREEK NEAR MYAKKA CITY FL,6.0500002,27.4094868,-82.1264801
66,16837332,02298760,HOWARD CREEK NEAR SARASOTA FL,20.0000000,27.2883816,-82.3400955
67,16865323,02299710,COW PEN SLOUGH AT CONTROL NEAR BEE RIDGE FL,39.0999985,27.2347221,-82.3961182
68,16877194,02299950,MANATEE RIVER NEAR MYAKKA HEAD FL,65.3000031,27.4736519,-82.2112045
69,16875122,02300018,GAMBLE CREEK NEAR PARRISH FL,50.5999985,27.5533714,-82.3895416
70,16883900,02300500,LITTLE MANATEE RIVER NEAR WIMAUMA FL,149.0000000,27.6711426,-82.3525925
71,16883564,02300300,SOUTH FORK LITTLE MANATEE RIVER NEAR WIMAUMA FL,38.4000015,27.6494770,-82.2942581
72,16883892,02300100,LITTLE MANATEE RIVER NEAR FT. LONESOME FL,31.3999996,27.7047539,-82.1978683
73,16883956,02300210,SOUTH FORK LITTLE MANATEE RIVER NEAR PARRISH FL,21.3999996,27.6019802,-82.2112045
74,16896602,02301500,ALAFIA RIVER AT LITHIA FL,335.0000000,27.8722477,-82.2112045
75,16896286,02301300,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,107.0000000,27.7966957,-82.1175842
76,16907019,02303330,HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL,375.0000000,28.0986118,-82.3113861
77,16907135,02303000,HILLSBOROUGH RIVER NEAR ZEPHYRHILLS FL,220.0000000,28.1502895,-82.2317505
78,16906323,02302500,BLACKWATER CREEK NEAR KNIGHTS FL,110.0000000,28.1397228,-82.1500015
79,16906283,02301990,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,82.0000000,28.1855564,-82.1841660
80,166743839,02303420,CYPRESS CREEK AT WORTHINGTON GARDENS FL,117.0000000,28.1872215,-82.4022217
81,16907055,02303205,BAKER CREEK AT MCINTOSH ROAD NEAR ANTIOCH FL,27.3999996,28.0283527,-82.2453690
82,16918210,02300700,BULLFROG CREEK NEAR WIMAUMA FL,29.1000004,27.7919712,-82.3520355
83,16918022,02301793,EAST LAKE OUTFALL AT E. CHELSEA ST. NEAR TAMPA FL,1.4600000,27.9850216,-82.3717575
84,16918140,02301745,DELANEY CREEK POPOFF CANAL NEAR TAMPA FL,2.0000000,27.9022465,-82.3770370
85,16918144,02301738,ARCHIE CREEK AT 78TH STREET NEAR TAMPA FL,2.9000001,27.8800240,-82.3706512
86,16918094,02301750,DELANEY CREEK NEAR TAMPA FL,16.1000004,27.9258556,-82.3642578
87,16863757,02299861,WALKER CREEK NEAR SARASOTA FL,4.9099998,27.3678226,-82.5442657
88,16877722,02300033,BRADEN RIV AT LAKEWOOD RANCH NR LORRAINE FL,25.6100006,27.4205551,-82.4261093
89,16875058,02300017,GAMBLE CREEK AT COUNTY ROAD 675 NEAR PARRISH FL,14.0000000,27.5757771,-82.3973923
90,16877502,02300042,WARD LAKE NEAR BRADENTON FL,59.5000000,27.4414310,-82.4875946
91,16906491,02305851,CURIOSITY CREEK AT 122ND AVE NEAR SULPHUR SPGS. FL,2.5899999,28.0586281,-82.4612045
92,16907115,02304500,HILLSBOROUGH RIVER NEAR TAMPA FL,624.0000000,28.0239086,-82.4275970
93,16907067,02303800,CYPRESS CREEK NEAR SULPHUR SPRINGS FL,160.0000000,28.0888882,-82.4091644
94,16916386,02306647,SWEETWATER CREEK NEAR TAMPA FL,14.3000002,28.0139084,-82.5450974
95,16916782,02306500,SWEETWATER CREEK NEAR SULPHUR SPRINGS FL,7.4299998,28.0430737,-82.5117645
96,16916302,02306950,BRUSHY CREEK NEAR CITRUS PARK FL,0.0000000,28.0650177,-82.5553741
97,16916300,02306774,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,17.7999992,28.0658340,-82.5658340
98,16917952,02306654,HENRY STREET CANAL NEAR TAMPA FL,0.0000000,28.0004864,-82.5563126
99,16918338,02300075,FROG CREEK AT BUFFALO ROAD NEAR RUBONIA FL,12.5000000,27.5799160,-82.5133896
100,16916356,02307000,ROCKY CREEK NEAR SULPHUR SPRINGS FL,35.0000000,28.0369625,-82.5759277
101,16918012,02307668,ALLIGATOR CREEK BELOW BELCHER RD AT CLEARWATER FL,3.6700001,27.9797421,-82.7423248
102,16918090,02307780,LONG BRANCH NEAR PINELLAS PARK FL,1.2500000,27.9158554,-82.7248230
103,16918578,02307674,ALLIGATOR CREEK AT KAPOK PARK AT CLEARWATER FL,7.0100002,27.9755058,-82.7131577
104,16916762,02307323,BROOKER CREEK NEAR LAKE FERN FL,17.0000000,28.1408482,-82.6398239
105,16932670,02309415,CURLEW CREEK AT EVANS ROAD NEAR DUNEDIN FL,0.5700000,28.0233517,-82.7406540
106,16934554,02308935,SAINT JOE CREEK AT PINELLAS PARK FL,2.5500000,27.8141918,-82.6956558
107,16932636,02309425,CURLEW CREEK AT COUNTY ROAD 1 NEAR OZONA FL,4.0900002,28.0469627,-82.7587128
108,16933128,02309421,CURLEW CREEK AT BELCHER ROAD NEAR OZONA FL,3.4000001,28.0400009,-82.7474976
109,16934506,02308870,PINEBROOK CN AT BRYAN DAIRY RD AT PINELLAS PARK FL,2.5100000,27.8722458,-82.7370453
110,16933094,02310000,ANCLOTE RIVER NEAR ELFERS FL,72.5000000,28.2141781,-82.6664886
111,3171902,08211500,"Nueces Rv at Calallen, TX",16684.0000000,27.8830776,-97.6252747
112,3171770,08211200,"Nueces Rv at Bluntzer, TX",16611.0000000,27.9377956,-97.7758331
113,3170312,08211000,"Nueces Rv nr Mathis, TX",16503.0000000,28.0383472,-97.8602753
114,3168874,08210400,"Lagarto Ck nr George West, TX",155.0000000,28.0597363,-98.0969467
115,1636035,08211520,"Oso Ck at Corpus Christi, TX",90.3000031,27.7114182,-97.5019379
116,1653465,08211900,"San Fernando Ck at Alice, TX",507.0000000,27.7725258,-98.0336151
117,1585173,08212400,"Los Olmos Ck nr Falfurrias, TX",480.0000000,27.2644863,-98.1358414
118,10634531,08194200,"San Casimiro Ck nr Freer, TX",469.0000000,27.9650135,-98.9669647
119,291639,08374550,"Rio Grande nr Castolon, TX",0.0000000,29.1379795,-103.5249023
120,291801,08375300,"Rio Grande at Rio Grande Village, Big Bnd NP, TX",0.0000000,29.1835384,-102.9754410
121,10893541,08193000,"Nueces Rv nr Asherton, TX",4082.0000000,28.5002632,-99.6819916
122,10892689,08192000,"Nueces Rv bl Uvalde, TX",1861.0000000,29.1238537,-99.8947830
123,10646917,08197500,"Frio Rv bl Dry Frio Rv nr Uvalde, TX",631.0000000,29.2457943,-99.6744995
124,10646939,08204005,"Leona Rv nr Uvalde, TX",132.0000000,29.1544075,-99.7433853
125,10630401,08194000,"Nueces Rv at Cotulla, TX",5171.0000000,28.4263783,-99.2400360
126,10661028,08205500,"Frio Rv nr Derby, TX",3429.0000000,28.7366447,-99.1447525
127,10840572,08181800,"San Antonio Rv nr Elmendorf, TX",1743.0000000,29.2221851,-98.3558426
128,10836420,08181500,"Medina Rv at San Antonio, TX",1317.0000000,29.2641277,-98.4908524
129,10631613,08194500,"Nueces Rv nr Tilden, TX",8093.0000000,28.3088894,-98.5572357
130,10664196,08206600,"Frio Rv at Tilden, TX",4493.0000000,28.4674931,-98.5475159
131,10664160,08206910,"Choke Canyon Res OWC nr Three Rivers, TX",5490.0000000,28.4861031,-98.2416763
132,10671061,08206700,"San Miguel Ck nr Tilden, TX",783.0000000,28.5874882,-98.5458527
133,10828654,08208000,"Atascosa Rv at Whitsett, TX",1171.0000000,28.6222095,-98.2814026
134,10827864,08207500,"Atascosa Rv nr McCoy, TX",530.0000000,28.8649769,-98.3383484
135,3838221,08183500,"San Antonio Rv nr Falls City, TX",2113.0000000,28.9516411,-98.0641708
136,3836053,08183200,"San Antonio Rv nr Floresville, TX",1964.0000000,29.1100006,-98.1744461
137,7852265,08186000,"Cibolo Ck nr Falls City, TX",827.0000000,29.0141392,-97.9302826
138,7851771,08185500,"Cibolo Ck at Sutherland Springs, TX",665.0000000,29.2797222,-98.0533371
139,3168766,08210000,"Nueces Rv nr Three Rivers, TX",15427.0000000,28.4274960,-98.1780624
140,1623207,08175000,"Sandies Ck nr Westhoff, TX",549.0000000,29.2152481,-97.4494324
141,3840125,08188500,"San Antonio Rv at Goliad, TX",3921.0000000,28.6492863,-97.3848572
142,3838999,08186500,"Ecleto Ck nr Runge, TX",239.0000000,28.9202538,-97.7722244
143,5289427,08189300,"Medio Ck nr Beeville, TX",204.0000000,28.4830513,-97.6566620
144,5297631,08189700,"Aransas Rv nr Skidmore, TX",247.0000000,28.2825050,-97.6208267
145,1640519,08177520,"Guadalupe Rv nr Bloomington, TX",5816.0000000,28.6619453,-96.9652786
146,1639225,08176500,"Guadalupe Rv at Victoria, TX",5198.0000000,28.7930450,-97.0130463
147,1637447,08175800,"Guadalupe Rv at Cuero, TX",4934.0000000,29.0905323,-97.3297119
148,1638907,08177500,"Coleto Ck nr Victoria, TX",500.0000000,28.7311039,-97.1386032
149,1638559,08176900,"Coleto Ck at Arnold Rd Crsg nr Schroeder, TX",357.0000000,28.8616524,-97.2263794
150,1638505,08176550,"Fifteenmile Ck nr Weser, TX",167.0000000,28.8977604,-97.3549957
151,1639209,08177300,"Perdido Ck at FM 622 nr Fannin, TX",28.0000000,28.7516556,-97.3172150
152,3840137,08188570,"San Antonio Rv nr McFaddin, TX",4134.0000000,28.5312500,-97.0426941
153,1640227,08188800,"Guadalupe Rv nr Tivoli, TX",10128.0000000,28.5058346,-96.8847046
154,3159657,08189200,"Copano Ck nr Refugio, TX",87.8000031,28.3036175,-97.1124878
155,5289461,08189500,"Mission Rv at Refugio, TX",690.0000000,28.2919502,-97.2791595
156,7842827,08164000,"Lavaca Rv nr Edna, TX",817.0000000,28.9599838,-96.6863632
157,7846399,08164504,"E Mustang Ck nr Louise, TX",53.9000015,29.0708122,-96.4171906
158,7846391,08164503,"W Mustang Ck nr Ganado, TX",178.0000000,29.0718575,-96.4680252
159,7846335,08164450,"Sandy Ck nr Ganado, TX",289.0000000,29.1602535,-96.5463638
160,7846429,08164390,"Navidad Rv at Strane Pk nr Edna, TX",579.0000000,29.0655365,-96.6741409
161,9349285,08164600,"Garcitas Ck nr Inez, TX",91.6999969,28.8913765,-96.8191452
162,9349455,08164800,"Placedo Ck nr Placedo, TX",68.3000031,28.7252712,-96.7688675
163,3765768,08162500,"Colorado Rv nr Bay City, TX",42240.0000000,28.9741459,-96.0124588
164,9355362,08162600,"Tres Palacios Rv nr Midfield, TX",145.0000000,28.9280376,-96.1710739
165,166743837,02303400,CYPRESS CREEK NEAR SAN ANTONIO FL,56.0000000,28.3238888,-82.3836136
166,16928178,02310675,HIDDEN RIVER NEAR HOMOSASSA FL,0.0000000,28.7666512,-82.5887070
167,16928188,02310525,WEEKI WACHEE RIVER NEAR BROOKSVILLE FL,0.0000000,28.5188847,-82.5823212
168,16944416,02313250,WITHLACOOCHEE R BYPASS CHANNEL NR INGLIS FLA,0.0000000,29.0210857,-82.6378784
169,16944526,02313100,"RAINBOW RIVER AT DUNNELLON, FL",0.0000000,29.0494213,-82.4476013
170,16949694,02313000,"WITHLACOOCHEE RIVER NEAR HOLDER, FL",1825.0000000,28.9888668,-82.3495407
171,16944498,02313230,"WITHLACOOCHEE R AT INGLIS DAM NEAR DUNNELLON, FL",2020.0000000,29.0099754,-82.6167679
172,16629114,02240000,"OCKLAWAHA RIVER NEAR CONNER, FL",1196.0000000,29.2146988,-81.9859238
173,16629118,02239000,"OCKLAWAHA RIVER NR OCALA,FLA.",1018.0000000,29.1833115,-81.9923096
174,16644086,02236500,"BIG CREEK NEAR CLERMONT, FL",68.0000000,28.4477825,-81.7400742
175,16628636,02238500,"OCKLAWAHA RIVER AT MOSS BLUFF, FL",879.0000000,29.0811119,-81.8808365
176,16630398,02239501,"SILVER RIVER NEAR OCALA, FL",0.0000000,29.2149773,-82.0411987
177,16636378,02237293,"PALATLAKAHA R AT STRUCTURE M-1, NR OKAHUMPKA, FL",221.0000000,28.7444363,-81.8725815
178,933080181,02236605,"LITTLE CREEK AT GREEN SWAMP ROAD NEAR CLERMONT, FL",14.8000002,28.4486160,-81.7814636
179,21476262,02266025,"REEDY CREEK AT S-46 NEAR VINELAND, FL",25.3999996,28.4052849,-81.6114655
180,21477644,02266200,"WHITTENHORSE CREEK NEAR VINELAND, FL",12.3999996,28.3850079,-81.6164627
181,16949624,02312764,"GUM SPRINGS NEAR HOLDER, FL",0.0000000,28.9511108,-82.2500000
182,16949870,02312600,"WITHLACOOCHEE RIVER NEAR FLORAL CITY, FL",995.0000000,28.7435989,-82.2200928
183,16949944,02312558,"WITHLACOOCHEE RIVER AT NOBLETON, FL",816.0000000,28.6444359,-82.2570343
184,16949534,02312300,WITHLACOOCHEE RIVER AT RITAL FL,629.0000000,28.5211067,-82.2092514
185,933100042,02312000,"WITHLACOOCHEE RIVER AT TRILBY, FL",570.0000000,28.4799976,-82.1775818
186,16955656,02311500,"WITHLACOOCHEE RIVER NEAR DADE CITY, FL",390.0000000,28.3525047,-82.1259155
187,16955670,02310947,"WITHLACOOCHEE RIVER NEAR CUMPRESSCO, FL",280.0000000,28.3119507,-82.0559158
188,16949670,02312200,"LITTLE WITHLACOOCHEE RIVER AT RERDELL, FL",145.0000000,28.5727730,-82.1553650
189,16949536,02312180,"LITTLE WITHLACOOCHEE RIVER NEAR TARRYTOWN, FL",85.0000000,28.5216656,-82.0548019
190,16949820,02312700,"OUTLET RIVER AT PANACOOCHEE RETREATS, FL",420.0000000,28.8002644,-82.1528625
191,16949630,02312667,"SHADY BROOK NEAR SUMTERVILLE, FL",8.0000000,28.7702675,-82.0636978
192,16949386,02312645,"JUMPER CREEK CANAL NEAR WAHOO, FL",50.5999985,28.7044353,-82.1570282
193,16949648,02312640,"JUMPER CREEK CANAL NEAR BUSHNELL, FL",40.0000000,28.6972141,-82.1039734
194,16949330,02312675,"LITTLE JONES CREEK NEAR RUTLAND, FL.",0.0000000,28.8425007,-82.1302795
195,16949786,02312762,"WITHLACOOCHEE RIVER NEAR INVERNESS, FL",1700.0000000,28.9122047,-82.2800903
196,16949882,02312598,"WITHLACOOCHEE RIVER NR PINEOLA, FL",930.0000000,28.7241554,-82.2423096
197,16949806,02312720,"WITHLACOOCHEE RIVER AT WYSONG DAM, AT CARLSON, FL",1520.0000000,28.8233204,-82.1831436
198,16949962,02312500,"WITHLACOOCHEE RIVER AT CROOM, FL",810.0000000,28.5927715,-82.2220306
199,10997161,02235200,"BLACKWATER CREEK NEAR CASSIA, FL",126.0000000,28.8744450,-81.4897232
200,10997271,02234990,"LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL",42.4000015,28.6880531,-81.3967361
201,10996421,02233500,"ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL",241.0000000,28.6777782,-81.1141663
202,10996491,02233484,"ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL",228.0000000,28.6555519,-81.1697845
203,10996629,02233475,"LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL",72.6999969,28.6199989,-81.2078400
204,10997359,02233200,"LITTLE ECONLOCKHATCHEE RIVER NEAR UNION PARK, FL",27.1000004,28.5250015,-81.2439575
205,10996529,02234308,"HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL",20.6000004,28.6324978,-81.3231201
206,10995987,02235500,"BLUE SPRINGS NEAR ORANGE CITY, FL",0.0000000,28.9441547,-81.3397903
207,10997281,02234344,"HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL",52.0000000,28.6899967,-81.2475662
208,10997289,02234324,"HOWELL CREEK NEAR SLAVIA, FL",29.2000008,28.6477757,-81.2645111
209,10997263,02234400,"GEE CREEK NEAR LONGWOOD, FL",12.8000002,28.7041626,-81.2906189
210,10997569,02235000,"WEKIVA RIVER NEAR SANFORD, FL",189.0000000,28.8152695,-81.4192352
211,10996335,02234384,"SOLDIER CREEK NEAR LONGWOOD, FL",21.2000008,28.7188854,-81.3086777
212,16687209,02247510,"TOMOKA RIVER NEAR HOLLY HILL, FL",76.8000031,29.2174816,-81.1086655
213,21477628,02266291,"LATERAL 405 AT S-405A, NEAR DOCTOR PHILLIPS, FL",19.6000004,28.4269447,-81.6052780
214,21476600,02264495,"SHINGLE CREEK AT CAMPBELL, FL",180.0000000,28.2672348,-81.4478531
215,21478176,02266300,"REEDY CREEK NEAR VINELAND, FL",84.5999985,28.3327866,-81.5797958
216,21476576,02266480,"DAVENPORT CREEK NEAR LOUGHMAN, FL",23.0000000,28.2711239,-81.5909042
217,21477658,02264051,"BLACK LK OUTLET AT S-101A, AT LAKE BUENA VISTA, FL",0.6900000,28.3744450,-81.5149994
218,21476322,02264003,"CYPRESS CREEK CANAL AT S-103A NEAR VINELAND, FL",29.5000000,28.3894520,-81.5250702
219,21476270,02263869,"SOUTH LAKE OUTLET AT S-15, NEAR VINELAND, FL",2.5599999,28.4127846,-81.5378494
220,21476368,02262900,"BOGGY CREEK NEAR TAFT, FL",83.5999985,28.3713970,-81.3106232
221,21477692,02264100,"BONNET CREEK NEAR VINELAND, FL",44.7000008,28.3252888,-81.5206299
222,21477690,02263800,"SHINGLE CREEK AT AIRPORT NEAR KISSIMMEE, FL",89.1999969,28.3041782,-81.4509048
223,21478164,02266496,"REEDY CREEK BELOW S-40, NEAR LOUGHMAN, FL",174.0000000,28.2758446,-81.5436859
224,933090063,02266500,"REEDY CREEK NEAR LOUGHMAN, FL",177.0000000,28.2636242,-81.5364609
225,10991435,02232500,"ST. JOHNS RIVER NEAR CHRISTMAS, FL",1539.0000000,28.5430546,-80.9433899
226,10997905,02234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",2043.0000000,28.7141609,-81.0353394
227,11003333,02232400,"ST. JOHNS RIVER NEAR COCOA, FL",1331.0000000,28.3697281,-80.8725586
228,16686741,02248000,"SPRUCE CREEK NEAR SAMSULA, FL",33.4000015,29.0508194,-81.0464478
229,16629290,02240500,"OCKLAWAHA RIVER AT EUREKA, FL",1367.0000000,29.3716660,-81.9019470
230,16624840,02243960,"OCKLAWAHA R AT RODMAN DAM NEAR ORANGE SPRINGS, FL",2747.0000000,29.5083332,-81.8041687
231,16662855,02245500,"SOUTH FORK BLACK CREEK NEAR PENNEY FARMS, FL",134.0000000,29.9794083,-81.8520432
232,16624508,02243000,"ORANGE CREEK AT ORANGE SPRINGS, FL",1119.0000000,29.5096931,-81.9461975
233,166743978,02315500,"SUWANNEE RIVER AT WHITE SPRINGS, FLA.",2430.0000000,30.3257809,-82.7381821
234,2232693,02320500,"SUWANNEE RIVER AT BRANFORD, FLA.",7880.0000000,29.9557858,-82.9276276
235,2229745,02320250,TROY SPRING NEAR BRANFORD FLA,0.0000000,30.0060596,-82.9973526
236,933110050,02323566,MANATEE SPRING NR CHIEFLAND FLA,0.0000000,29.4896812,-82.9767914
237,2232703,02323000,"SUWANNEE RIVER NEAR BELL, FLORIDA",9390.0000000,29.7913437,-82.9242935
238,2161876,02322800,SANTA FE RIVER NR HILDRETH FLA,1374.0000000,29.9116211,-82.8604050
239,2161874,02321500,"SANTA FE RIVER AT WORTHINGTON SPRINGS, FLA.",575.0000000,29.9219074,-82.4262238
240,2161828,02320700,"SANTA FE RIVER NEAR GRAHAM, FLA.",94.9000015,29.8463535,-82.2195511
241,2161384,02321000,NEW RIVER NR LAKE BUTLER FLA,191.0000000,29.9982948,-82.2740021
242,2161766,02322700,"ICHETUCKNEE R AT HWY27 NR HILDRETH, FL",551.6699829,29.9524994,-82.7861099
243,2161822,02322500,"SANTA FE RIVER NEAR FORT WHITE, FLA.",1017.0000000,29.8488483,-82.7151184
244,1984358,02324000,"STEINHATCHEE RIVER NEAR CROSS CITY, FLA.",350.0000000,29.7866135,-83.3215256
245,2230497,02320000,"SUWANNEE RIVER AT LURAVILLE, FLA.",7280.0000000,30.0999451,-83.1715240
246,2230489,02319800,"SUWANNEE RIVER AT DOWLING PARK, FLORIDA",7190.0000000,30.2449417,-83.2495880
247,2235931,02323592,SUWANNEE RIVER AB GOPHER RIVER NR SUWANNEE FL,9973.0000000,29.3394051,-83.0865173
248,1978402,02325000,"FENHOLLOWAY RIVER NEAR PERRY, FLA",160.0000000,30.0713234,-83.6623688
