feature_id,site_no,site_name,da_sqkm,lat_reachCent,lon_reachCent
16896600,2300882,NORTH PRONG ALAFIA RIVER NEAR NICHOLS FL,39,27.8903046,-82.0117493
16906265,2301900,"FOX BRANCH NEAR SOCRUM, FL",9.5,28.1819439,-82.0124969
16837536,2299410,BIG SLOUGH CANAL NEAR MYAKKA CITY FL,36.5,27.1933842,-82.1442566
16838908,2298830,MYAKKA RIVER NEAR SARASOTA FL,229,27.2406044,-82.3137054
16838830,2298554,MYAKKA RIVER NEAR MYAKKA CITY FL,0,27.3661556,-82.1492538
16838806,2298527,OGLEBY CK DNSTR FROM BOGGY CK NEAR MYAKKA CITY FL,8.71,27.4036541,-82.1817551
16838820,2298495,MAPLE CREEK NEAR MYAKKA CITY FL,3.9300001,27.3844872,-82.1298141
16837004,2298488,MYAKKA RIVER UPST FROM YOUNGS CK NR MYAKKA CITY FL,29.2000008,27.4292088,-82.1387024
16838802,2298530,COKER CREEK NEAR MYAKKA CITY FL,6.5900002,27.4097652,-82.175087
16837084,2298608,MYAKKA RIVER AT MYAKKA CITY FL,125,27.3436565,-82.1567535
16837572,2298880,MYAKKA RIVER AT CONTROL NEAR LAUREL FL,253,27.1856079,-82.3556519
16838808,2298492,LONG CREEK NEAR MYAKKA CITY FL,6.0500002,27.4094868,-82.1264801
16837332,2298760,HOWARD CREEK NEAR SARASOTA FL,20,27.2883816,-82.3400955
16865323,2299710,COW PEN SLOUGH AT CONTROL NEAR BEE RIDGE FL,39.0999985,27.2347221,-82.3961182
16877194,2299950,MANATEE RIVER NEAR MYAKKA HEAD FL,65.3000031,27.4736519,-82.2112045
16875122,2300018,GAMBLE CREEK NEAR PARRISH FL,50.5999985,27.5533714,-82.3895416
16883900,2300500,LITTLE MANATEE RIVER NEAR WIMAUMA FL,149,27.6711426,-82.3525925
16883564,2300300,SOUTH FORK LITTLE MANATEE RIVER NEAR WIMAUMA FL,38.4000015,27.649477,-82.2942581
16883892,2300100,LITTLE MANATEE RIVER NEAR FT. LONESOME FL,31.3999996,27.7047539,-82.1978683
16883956,2300210,SOUTH FORK LITTLE MANATEE RIVER NEAR PARRISH FL,21.3999996,27.6019802,-82.2112045
16896602,2301500,ALAFIA RIVER AT LITHIA FL,335,27.8722477,-82.2112045
16896286,2301300,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,107,27.7966957,-82.1175842
16907019,2303330,HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL,375,28.0986118,-82.3113861
16907135,2303000,HILLSBOROUGH RIVER NEAR ZEPHYRHILLS FL,220,28.1502895,-82.2317505
16906323,2302500,BLACKWATER CREEK NEAR KNIGHTS FL,110,28.1397228,-82.1500015
16906283,2301990,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,82,28.1855564,-82.184166
166743839,2303420,CYPRESS CREEK AT WORTHINGTON GARDENS FL,117,28.1872215,-82.4022217
16907055,2303205,BAKER CREEK AT MCINTOSH ROAD NEAR ANTIOCH FL,27.3999996,28.0283527,-82.245369
16918210,2300700,BULLFROG CREEK NEAR WIMAUMA FL,29.1000004,27.7919712,-82.3520355
16918022,2301793,EAST LAKE OUTFALL AT E. CHELSEA ST. NEAR TAMPA FL,1.46,27.9850216,-82.3717575
16918140,2301745,DELANEY CREEK POPOFF CANAL NEAR TAMPA FL,2,27.9022465,-82.377037
16918144,2301738,ARCHIE CREEK AT 78TH STREET NEAR TAMPA FL,2.9000001,27.880024,-82.3706512
16918094,2301750,DELANEY CREEK NEAR TAMPA FL,16.1000004,27.9258556,-82.3642578
16863757,2299861,WALKER CREEK NEAR SARASOTA FL,4.9099998,27.3678226,-82.5442657
16877722,2300033,BRADEN RIV AT LAKEWOOD RANCH NR LORRAINE FL,25.6100006,27.4205551,-82.4261093
16875058,2300017,GAMBLE CREEK AT COUNTY ROAD 675 NEAR PARRISH FL,14,27.5757771,-82.3973923
16877502,2300042,WARD LAKE NEAR BRADENTON FL,59.5,27.441431,-82.4875946
16906491,2305851,CURIOSITY CREEK AT 122ND AVE NEAR SULPHUR SPGS. FL,2.5899999,28.0586281,-82.4612045
16907115,2304500,HILLSBOROUGH RIVER NEAR TAMPA FL,624,28.0239086,-82.427597
16907067,2303800,CYPRESS CREEK NEAR SULPHUR SPRINGS FL,160,28.0888882,-82.4091644
16916386,2306647,SWEETWATER CREEK NEAR TAMPA FL,14.3000002,28.0139084,-82.5450974
16916782,2306500,SWEETWATER CREEK NEAR SULPHUR SPRINGS FL,7.4299998,28.0430737,-82.5117645
16916302,2306950,BRUSHY CREEK NEAR CITRUS PARK FL,0,28.0650177,-82.5553741
16916300,2306774,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,17.7999992,28.065834,-82.565834
16917952,2306654,HENRY STREET CANAL NEAR TAMPA FL,0,28.0004864,-82.5563126
16918338,2300075,FROG CREEK AT BUFFALO ROAD NEAR RUBONIA FL,12.5,27.579916,-82.5133896
16916356,2307000,ROCKY CREEK NEAR SULPHUR SPRINGS FL,35,28.0369625,-82.5759277
16918012,2307668,ALLIGATOR CREEK BELOW BELCHER RD AT CLEARWATER FL,3.6700001,27.9797421,-82.7423248
16918090,2307780,LONG BRANCH NEAR PINELLAS PARK FL,1.25,27.9158554,-82.724823
16918578,2307674,ALLIGATOR CREEK AT KAPOK PARK AT CLEARWATER FL,7.0100002,27.9755058,-82.7131577
16916762,2307323,BROOKER CREEK NEAR LAKE FERN FL,17,28.1408482,-82.6398239
16932670,2309415,CURLEW CREEK AT EVANS ROAD NEAR DUNEDIN FL,0.57,28.0233517,-82.740654
16934554,2308935,SAINT JOE CREEK AT PINELLAS PARK FL,2.55,27.8141918,-82.6956558
16932636,2309425,CURLEW CREEK AT COUNTY ROAD 1 NEAR OZONA FL,4.0900002,28.0469627,-82.7587128
16933128,2309421,CURLEW CREEK AT BELCHER ROAD NEAR OZONA FL,3.4000001,28.0400009,-82.7474976
16934506,2308870,PINEBROOK CN AT BRYAN DAIRY RD AT PINELLAS PARK FL,2.51,27.8722458,-82.7370453
16933094,2310000,ANCLOTE RIVER NEAR ELFERS FL,72.5,28.2141781,-82.6664886
3171902,8211500,"Nueces Rv at Calallen, TX",16684,27.8830776,-97.6252747
3171770,8211200,"Nueces Rv at Bluntzer, TX",16611,27.9377956,-97.7758331
3170312,8211000,"Nueces Rv nr Mathis, TX",16503,28.0383472,-97.8602753
3168874,8210400,"Lagarto Ck nr George West, TX",155,28.0597363,-98.0969467
1636035,8211520,"Oso Ck at Corpus Christi, TX",90.3000031,27.7114182,-97.5019379
1653465,8211900,"San Fernando Ck at Alice, TX",507,27.7725258,-98.0336151
1585173,8212400,"Los Olmos Ck nr Falfurrias, TX",480,27.2644863,-98.1358414
10634531,8194200,"San Casimiro Ck nr Freer, TX",469,27.9650135,-98.9669647
291639,8374550,"Rio Grande nr Castolon, TX",0,29.1379795,-103.5249023
291801,8375300,"Rio Grande at Rio Grande Village, Big Bnd NP, TX",0,29.1835384,-102.975441
10893541,8193000,"Nueces Rv nr Asherton, TX",4082,28.5002632,-99.6819916
10892689,8192000,"Nueces Rv bl Uvalde, TX",1861,29.1238537,-99.894783
10646917,8197500,"Frio Rv bl Dry Frio Rv nr Uvalde, TX",631,29.2457943,-99.6744995
10646939,8204005,"Leona Rv nr Uvalde, TX",132,29.1544075,-99.7433853
10630401,8194000,"Nueces Rv at Cotulla, TX",5171,28.4263783,-99.240036
10661028,8205500,"Frio Rv nr Derby, TX",3429,28.7366447,-99.1447525
10840572,8181800,"San Antonio Rv nr Elmendorf, TX",1743,29.2221851,-98.3558426
10836420,8181500,"Medina Rv at San Antonio, TX",1317,29.2641277,-98.4908524
10631613,8194500,"Nueces Rv nr Tilden, TX",8093,28.3088894,-98.5572357
10664196,8206600,"Frio Rv at Tilden, TX",4493,28.4674931,-98.5475159
10664160,8206910,"Choke Canyon Res OWC nr Three Rivers, TX",5490,28.4861031,-98.2416763
10671061,8206700,"San Miguel Ck nr Tilden, TX",783,28.5874882,-98.5458527
10828654,8208000,"Atascosa Rv at Whitsett, TX",1171,28.6222095,-98.2814026
10827864,8207500,"Atascosa Rv nr McCoy, TX",530,28.8649769,-98.3383484
3838221,8183500,"San Antonio Rv nr Falls City, TX",2113,28.9516411,-98.0641708
3836053,8183200,"San Antonio Rv nr Floresville, TX",1964,29.1100006,-98.1744461
7852265,8186000,"Cibolo Ck nr Falls City, TX",827,29.0141392,-97.9302826
7851771,8185500,"Cibolo Ck at Sutherland Springs, TX",665,29.2797222,-98.0533371
3168766,8210000,"Nueces Rv nr Three Rivers, TX",15427,28.427496,-98.1780624
1623207,8175000,"Sandies Ck nr Westhoff, TX",549,29.2152481,-97.4494324
3840125,8188500,"San Antonio Rv at Goliad, TX",3921,28.6492863,-97.3848572
3838999,8186500,"Ecleto Ck nr Runge, TX",239,28.9202538,-97.7722244
5289427,8189300,"Medio Ck nr Beeville, TX",204,28.4830513,-97.656662
5297631,8189700,"Aransas Rv nr Skidmore, TX",247,28.282505,-97.6208267
1640519,8177520,"Guadalupe Rv nr Bloomington, TX",5816,28.6619453,-96.9652786
1639225,8176500,"Guadalupe Rv at Victoria, TX",5198,28.793045,-97.0130463
1637447,8175800,"Guadalupe Rv at Cuero, TX",4934,29.0905323,-97.3297119
1638907,8177500,"Coleto Ck nr Victoria, TX",500,28.7311039,-97.1386032
1638559,8176900,"Coleto Ck at Arnold Rd Crsg nr Schroeder, TX",357,28.8616524,-97.2263794
1638505,8176550,"Fifteenmile Ck nr Weser, TX",167,28.8977604,-97.3549957
1639209,8177300,"Perdido Ck at FM 622 nr Fannin, TX",28,28.7516556,-97.317215
3840137,8188570,"San Antonio Rv nr McFaddin, TX",4134,28.53125,-97.0426941
1640227,8188800,"Guadalupe Rv nr Tivoli, TX",10128,28.5058346,-96.8847046
3159657,8189200,"Copano Ck nr Refugio, TX",87.8000031,28.3036175,-97.1124878
5289461,8189500,"Mission Rv at Refugio, TX",690,28.2919502,-97.2791595
7842827,8164000,"Lavaca Rv nr Edna, TX",817,28.9599838,-96.6863632
7846399,8164504,"E Mustang Ck nr Louise, TX",53.9000015,29.0708122,-96.4171906
7846391,8164503,"W Mustang Ck nr Ganado, TX",178,29.0718575,-96.4680252
7846335,8164450,"Sandy Ck nr Ganado, TX",289,29.1602535,-96.5463638
7846429,8164390,"Navidad Rv at Strane Pk nr Edna, TX",579,29.0655365,-96.6741409
9349285,8164600,"Garcitas Ck nr Inez, TX",91.6999969,28.8913765,-96.8191452
9349455,8164800,"Placedo Ck nr Placedo, TX",68.3000031,28.7252712,-96.7688675
3765768,8162500,"Colorado Rv nr Bay City, TX",42240,28.9741459,-96.0124588
9355362,8162600,"Tres Palacios Rv nr Midfield, TX",145,28.9280376,-96.1710739
166743837,2303400,CYPRESS CREEK NEAR SAN ANTONIO FL,56,28.3238888,-82.3836136
16928178,2310675,HIDDEN RIVER NEAR HOMOSASSA FL,0,28.7666512,-82.588707
16928188,2310525,WEEKI WACHEE RIVER NEAR BROOKSVILLE FL,0,28.5188847,-82.5823212
16944416,2313250,WITHLACOOCHEE R BYPASS CHANNEL NR INGLIS FLA,0,29.0210857,-82.6378784
16944526,2313100,"RAINBOW RIVER AT DUNNELLON, FL",0,29.0494213,-82.4476013
16949694,2313000,"WITHLACOOCHEE RIVER NEAR HOLDER, FL",1825,28.9888668,-82.3495407
16944498,2313230,"WITHLACOOCHEE R AT INGLIS DAM NEAR DUNNELLON, FL",2020,29.0099754,-82.6167679
16629114,2240000,"OCKLAWAHA RIVER NEAR CONNER, FL",1196,29.2146988,-81.9859238
16629118,2239000,"OCKLAWAHA RIVER NR OCALA,FLA.",1018,29.1833115,-81.9923096
16644086,2236500,"BIG CREEK NEAR CLERMONT, FL",68,28.4477825,-81.7400742
16628636,2238500,"OCKLAWAHA RIVER AT MOSS BLUFF, FL",879,29.0811119,-81.8808365
16630398,2239501,"SILVER RIVER NEAR OCALA, FL",0,29.2149773,-82.0411987
16636378,2237293,"PALATLAKAHA R AT STRUCTURE M-1, NR OKAHUMPKA, FL",221,28.7444363,-81.8725815
933080181,2236605,"LITTLE CREEK AT GREEN SWAMP ROAD NEAR CLERMONT, FL",14.8000002,28.448616,-81.7814636
21476262,2266025,"REEDY CREEK AT S-46 NEAR VINELAND, FL",25.3999996,28.4052849,-81.6114655
21477644,2266200,"WHITTENHORSE CREEK NEAR VINELAND, FL",12.3999996,28.3850079,-81.6164627
16949624,2312764,"GUM SPRINGS NEAR HOLDER, FL",0,28.9511108,-82.25
16949870,2312600,"WITHLACOOCHEE RIVER NEAR FLORAL CITY, FL",995,28.7435989,-82.2200928
16949944,2312558,"WITHLACOOCHEE RIVER AT NOBLETON, FL",816,28.6444359,-82.2570343
16949534,2312300,WITHLACOOCHEE RIVER AT RITAL FL,629,28.5211067,-82.2092514
933100042,2312000,"WITHLACOOCHEE RIVER AT TRILBY, FL",570,28.4799976,-82.1775818
16955656,2311500,"WITHLACOOCHEE RIVER NEAR DADE CITY, FL",390,28.3525047,-82.1259155
16955670,2310947,"WITHLACOOCHEE RIVER NEAR CUMPRESSCO, FL",280,28.3119507,-82.0559158
16949670,2312200,"LITTLE WITHLACOOCHEE RIVER AT RERDELL, FL",145,28.572773,-82.155365
16949536,2312180,"LITTLE WITHLACOOCHEE RIVER NEAR TARRYTOWN, FL",85,28.5216656,-82.0548019
16949820,2312700,"OUTLET RIVER AT PANACOOCHEE RETREATS, FL",420,28.8002644,-82.1528625
16949630,2312667,"SHADY BROOK NEAR SUMTERVILLE, FL",8,28.7702675,-82.0636978
16949386,2312645,"JUMPER CREEK CANAL NEAR WAHOO, FL",50.5999985,28.7044353,-82.1570282
16949648,2312640,"JUMPER CREEK CANAL NEAR BUSHNELL, FL",40,28.6972141,-82.1039734
16949330,2312675,"LITTLE JONES CREEK NEAR RUTLAND, FL.",0,28.8425007,-82.1302795
16949786,2312762,"WITHLACOOCHEE RIVER NEAR INVERNESS, FL",1700,28.9122047,-82.2800903
16949882,2312598,"WITHLACOOCHEE RIVER NR PINEOLA, FL",930,28.7241554,-82.2423096
16949806,2312720,"WITHLACOOCHEE RIVER AT WYSONG DAM, AT CARLSON, FL",1520,28.8233204,-82.1831436
16949962,2312500,"WITHLACOOCHEE RIVER AT CROOM, FL",810,28.5927715,-82.2220306
10997161,2235200,"BLACKWATER CREEK NEAR CASSIA, FL",126,28.874445,-81.4897232
10997271,2234990,"LITTLE WEKIVA RIVER NEAR ALTAMONTE SPRINGS, FL",42.4000015,28.6880531,-81.3967361
10996421,2233500,"ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL",241,28.6777782,-81.1141663
10996491,2233484,"ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL",228,28.6555519,-81.1697845
10996629,2233475,"LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL",72.6999969,28.6199989,-81.20784
10997359,2233200,"LITTLE ECONLOCKHATCHEE RIVER NEAR UNION PARK, FL",27.1000004,28.5250015,-81.2439575
10996529,2234308,"HOWELL CREEK NEAR ALTAMONTE SPRINGS, FL",20.6000004,28.6324978,-81.3231201
10995987,2235500,"BLUE SPRINGS NEAR ORANGE CITY, FL",0,28.9441547,-81.3397903
10997281,2234344,"HOWELL CREEK AT STATE HWY 434 NEAR OVIEDO, FL",52,28.6899967,-81.2475662
10997289,2234324,"HOWELL CREEK NEAR SLAVIA, FL",29.2000008,28.6477757,-81.2645111
10997263,2234400,"GEE CREEK NEAR LONGWOOD, FL",12.8000002,28.7041626,-81.2906189
10997569,2235000,"WEKIVA RIVER NEAR SANFORD, FL",189,28.8152695,-81.4192352
10996335,2234384,"SOLDIER CREEK NEAR LONGWOOD, FL",21.2000008,28.7188854,-81.3086777
16687209,2247510,"TOMOKA RIVER NEAR HOLLY HILL, FL",76.8000031,29.2174816,-81.1086655
21477628,2266291,"LATERAL 405 AT S-405A, NEAR DOCTOR PHILLIPS, FL",19.6000004,28.4269447,-81.605278
21476600,2264495,"SHINGLE CREEK AT CAMPBELL, FL",180,28.2672348,-81.4478531
21478176,2266300,"REEDY CREEK NEAR VINELAND, FL",84.5999985,28.3327866,-81.5797958
21476576,2266480,"DAVENPORT CREEK NEAR LOUGHMAN, FL",23,28.2711239,-81.5909042
21477658,2264051,"BLACK LK OUTLET AT S-101A, AT LAKE BUENA VISTA, FL",0.69,28.374445,-81.5149994
21476322,2264003,"CYPRESS CREEK CANAL AT S-103A NEAR VINELAND, FL",29.5,28.389452,-81.5250702
21476270,2263869,"SOUTH LAKE OUTLET AT S-15, NEAR VINELAND, FL",2.5599999,28.4127846,-81.5378494
21476368,2262900,"BOGGY CREEK NEAR TAFT, FL",83.5999985,28.371397,-81.3106232
21477692,2264100,"BONNET CREEK NEAR VINELAND, FL",44.7000008,28.3252888,-81.5206299
21477690,2263800,"SHINGLE CREEK AT AIRPORT NEAR KISSIMMEE, FL",89.1999969,28.3041782,-81.4509048
21478164,2266496,"REEDY CREEK BELOW S-40, NEAR LOUGHMAN, FL",174,28.2758446,-81.5436859
933090063,2266500,"REEDY CREEK NEAR LOUGHMAN, FL",177,28.2636242,-81.5364609
10991435,2232500,"ST. JOHNS RIVER NEAR CHRISTMAS, FL",1539,28.5430546,-80.9433899
10997905,2234000,"ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL",2043,28.7141609,-81.0353394
11003333,2232400,"ST. JOHNS RIVER NEAR COCOA, FL",1331,28.3697281,-80.8725586
16686741,2248000,"SPRUCE CREEK NEAR SAMSULA, FL",33.4000015,29.0508194,-81.0464478
16629290,2240500,"OCKLAWAHA RIVER AT EUREKA, FL",1367,29.371666,-81.901947
16624840,2243960,"OCKLAWAHA R AT RODMAN DAM NEAR ORANGE SPRINGS, FL",2747,29.5083332,-81.8041687
16662855,2245500,"SOUTH FORK BLACK CREEK NEAR PENNEY FARMS, FL",134,29.9794083,-81.8520432
16624508,2243000,"ORANGE CREEK AT ORANGE SPRINGS, FL",1119,29.5096931,-81.9461975
166743978,2315500,"SUWANNEE RIVER AT WHITE SPRINGS, FLA.",2430,30.3257809,-82.7381821
2232693,2320500,"SUWANNEE RIVER AT BRANFORD, FLA.",7880,29.9557858,-82.9276276
2229745,2320250,TROY SPRING NEAR BRANFORD FLA,0,30.0060596,-82.9973526
933110050,2323566,MANATEE SPRING NR CHIEFLAND FLA,0,29.4896812,-82.9767914
2232703,2323000,"SUWANNEE RIVER NEAR BELL, FLORIDA",9390,29.7913437,-82.9242935
2161876,2322800,SANTA FE RIVER NR HILDRETH FLA,1374,29.9116211,-82.860405
2161874,2321500,"SANTA FE RIVER AT WORTHINGTON SPRINGS, FLA.",575,29.9219074,-82.4262238
2161828,2320700,"SANTA FE RIVER NEAR GRAHAM, FLA.",94.9000015,29.8463535,-82.2195511
2161384,2321000,NEW RIVER NR LAKE BUTLER FLA,191,29.9982948,-82.2740021
2161766,2322700,"ICHETUCKNEE R AT HWY27 NR HILDRETH, FL",551.6699829,29.9524994,-82.7861099
2161822,2322500,"SANTA FE RIVER NEAR FORT WHITE, FLA.",1017,29.8488483,-82.7151184
1984358,2324000,"STEINHATCHEE RIVER NEAR CROSS CITY, FLA.",350,29.7866135,-83.3215256
2230497,2320000,"SUWANNEE RIVER AT LURAVILLE, FLA.",7280,30.0999451,-83.171524
2230489,2319800,"SUWANNEE RIVER AT DOWLING PARK, FLORIDA",7190,30.2449417,-83.249588
2235931,2323592,SUWANNEE RIVER AB GOPHER RIVER NR SUWANNEE FL,9973,29.3394051,-83.0865173
1978402,2325000,"FENHOLLOWAY RIVER NEAR PERRY, FLA",160,30.0713234,-83.6623688
1978648,2324400,"FENHOLLOWAY RIVER NEAR FOLEY, FLA.",60,30.0982704,-83.4718094
1978638,2326000,"ECONFINA RIVER NEAR PERRY, FLA.",198,30.1707649,-83.8237686
2287383,2326526,WACISSA RIVER NR WACISSA FLA,0,30.3013153,-83.9796066
10319918,2327033,LOST CREEK AT ARRAN FLA,70.4000015,30.1882572,-84.4082336
10323850,2326900,"ST. MARKS RIVER NEAR NEWPORT, FLA.",535,30.271431,-84.1482544
10365698,2327100,"SOPCHOPPY RIVER NR SOPCHOPPY, FLA.",102,30.1293678,-84.4943466
10365922,2330150,"OCHLOCKONEE RIVER NR SMITH CREEK, FLA.",2080,30.17659,-84.6679611
2298964,2359170,"APALACHICOLA RIVER NR SUMATRA,FLA.",19200,29.9493713,-85.0154724
2077651,2330400,"NEW RIVER NEAR SUMATRA, FLA",157,30.0388126,-84.8437958
22370531,7381235,"GIWW West of Bayou Lafourche at Larose, LA",0,29.5772228,-90.3808365
22366581,7381000,"Bayou Lafourche at Thibodaux, LA",0,29.7979851,-90.8225937
22356915,7380400,"Bayou Lafourche at Donaldsonville, LA",,30.1008892,-90.9934692
22357431,7380401,"Bayou Lafourche SW of Donaldsonville, LA",,30.0963898,-91.0058365
15182085,7381590,"Wax Lake Outlet at Calumet, LA",0,29.6979866,-91.3728867
8331928,8031000,"Cow Bayou nr Mauriceville, TX",83.3000031,30.1863213,-93.9085083
8331804,8030500,"Sabine Rv nr Ruliff, TX",9329,30.3038177,-93.743782
1143252,8041700,"Pine Island Bayou nr Sour Lake, TX",336,30.1060467,-94.3346329
1520091,8071280,"Luce Bayou abv Lk Houston nr Huffman, TX",218,30.1096611,-95.0599289
1520237,8071000,"Peach Ck at Splendora, TX",117,30.2327137,-95.1682663
1520083,8070200,"E Fk San Jacinto Rv nr New Caney, TX",388,30.1454926,-95.1243744
1440389,8075730,"Vince Bayou at Pasadena, TX",8.2600002,29.6946735,-95.2163239
1558800,8067525,"Goose Ck at Baytown, TX",15.8000002,29.7707825,-94.999649
1558738,8067500,"Cedar Bayou nr Crosby, TX",64.9000015,29.9727192,-94.9857635
1563092,8077600,"Clear Ck nr Friendswood, TX",122,29.5174561,-95.1785431
1468280,8068000,"W Fk San Jacinto Rv nr Conroe, TX",828,30.2446575,-95.4571609
1468106,8068090,"W Fk San Jacinto Rv abv Lk Houston nr Porter, TX",962,30.0860519,-95.2999344
1508043,8068500,"Spring Ck nr Spring, TX",409,30.1104946,-95.4363251
